"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1.27204803488634,0.197179411233165,-0.0213776579186242,0.0118601589482889,0.00326111718915409,-0.00384652529948012,-0.00671494546446367,0.0248707620877424,0.00513265108869748,0.0185679461334796,0.00831396194936498
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1.27204803491706,0.197179411242947,-0.0213776578156837,0.0118601588871855,0.00326111717023273,-0.00384652528396613,-0.006714945433284,0.0248707619640426,0.00513265106013689,0.018567946038959,0.00831396190565342
"91",1.27204803178939,0.197179412827289,-0.0213776564392839,0.0118601601746596,0.00326111892539227,-0.00384652461551902,-0.00671494427228455,0.0248707637613968,0.00513265179980601,0.018567947606813,0.00831396367321349
"92",1.27204803181146,0.197179412834247,-0.0213776563652287,0.0118601601307367,0.00326111891181844,-0.00384652460434542,-0.00671494424984969,0.0248707636724609,0.00513265177927925,0.0185679475388679,0.00831396364181043
"93",1.27098928759651,0.196848087949435,-0.0248571952989586,0.0139506674612379,0.00392065940866604,-0.00435132874561039,-0.00776073941097688,0.0290760489340611,0.00612276828332515,0.0217938166939118,0.00981419094100529
"94",1.27098941542793,0.196848126971919,-0.024856788438464,0.0139504192537144,0.00392057927386644,-0.00435127240289504,-0.00776061836676303,0.029075553120323,0.0061226490521213,0.0217934348528979,0.00981401205934429
"95",1.27204803188912,0.197179412858995,-0.021377656101118,0.0118601599744823,0.00326111886375271,-0.00384652456434675,-0.00671494416968589,0.0248707633558267,0.00513265170634074,0.0185679472970525,0.0083139635302184
"96",1.2720480348483,0.197179411221029,-0.0213776580463596,0.0118601590240403,0.00326111721255069,-0.00384652531873226,-0.00671494550317014,0.0248707622411113,0.00513265112411382,0.018567946250659,0.00831396200351173
"97",1.27204803447398,0.197179411101712,-0.0213776593020717,0.0118601597690574,0.00326111744295065,-0.00384652550798526,-0.00671494588359625,0.0248707637494248,0.0051326514723905,0.0185679474031214,0.00831396253625701
"98",1.27204803480196,0.197179411206255,-0.0213776582018437,0.0118601591162855,0.00326111724107458,-0.00384652534216591,-0.00671494555027598,0.0248707624278658,0.00513265116723665,0.0185679463933525,0.00831396206947182
"99",1.27098994009453,0.196848288233465,-0.0248550988004917,0.0139493910374743,0.00392024840059331,-0.00435103686680408,-0.0077601148121741,0.0290734982928968,0.00612215579714621,0.0217918522244217,0.00981327149161501
"100",1.27204803196021,0.197179412881736,-0.021377655866212,0.0118601598346718,0.00326111882026429,-0.003846524529148,-0.006714944098665,0.024870763073075,0.00513265164086869,0.0185679470808879,0.00831396343010625
"101",1.2709895677097,0.196848175252064,-0.0248562931594711,0.0139501143928592,0.00392048215784039,-0.00435120918631629,-0.00776047068587055,0.029074972085875,0.00612249250330392,0.0217929711322189,0.00981379559367833
"102",1.27204803184303,0.197179412844387,-0.0213776562593255,0.0118601600678954,0.00326111889237961,-0.00384652458839636,-0.00671494421776387,0.0248707635452473,0.00513265174989594,0.01856794744166,0.00831396359687208
"103",1.27098930571567,0.19684809300461,-0.024857143134743,0.0139506346957195,0.0039206483019108,-0.00435132206061902,-0.00776072421886943,0.0290759826639009,0.00612275260279523,0.0217937663783772,0.00981416699653796
"104",1.27098920624814,0.196848062507523,-0.0248574626861179,0.0139508293335346,0.003920710990193,-0.00435136645309689,-0.00776081940794255,0.029076371272165,0.0061228461336069,0.0217940658653164,0.00981430717884911
"105",1.27204803494399,0.197179411251734,-0.0213776577243303,0.011860158833174,0.00326111715365862,-0.00384652527016331,-0.00671494540554506,0.0248707618546273,0.00513265103489359,0.0185679459553777,0.00831396186711434
"106",1.27098905254921,0.19684801572191,-0.0248579532370674,0.0139511285244635,0.00392080771009459,-0.00435143439128696,-0.00776096537906211,0.0290769706138437,0.00612298943526398,0.0217945264601465,0.00981452299079325
"107",1.27098899690746,0.196847999984028,-0.0248581373681509,0.0139512359545965,0.00392084197516224,-0.00435146493853463,-0.00776102092614397,0.0290772083345879,0.00612303275843462,0.021794696641043,0.00981460216033573
"108",1.27204803491591,0.197179411242594,-0.0213776578193969,0.01186015888942,0.00326111717095097,-0.00384652528452515,-0.00671494543440147,0.0248707619685595,0.00513265106117734,0.0185679460424155,0.00831396190727078
"109",1.27098890328384,0.196847969729337,-0.0248584364564126,0.0139514222894766,0.0039209021121309,-0.00435150187652819,-0.00776110950563748,0.0290775576975972,0.00612313034384514,0.021794978713662,0.00981473450663895
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
