"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"193",1.35848169413653,0.197723080376903,0.0814145200921006,-0.0135388734183668,-0.00223522156288435,0.0450597302020569,-0.0292087203649132,-0.00172054292278841,0.0496895292100495,0.0679757899297948,-0.0630863040546919
"194",1.35845478232371,0.197778246390964,0.0807598933864097,-0.0133934949901073,-0.00218504404976487,0.0447317212583063,-0.0290141112334019,-0.00165452579754263,0.0493047186799596,0.0673934385706556,-0.062675474750264
"195",1.35857187449239,0.197848688163928,0.0801047018752027,-0.0131633906626725,-0.00206578076019395,0.0445184078888173,-0.0289572831691199,-0.00148029014344037,0.0489287862885249,0.0666764846766769,-0.0625800888954171
"196",1.35848815069211,0.197675270954596,0.0814675196060342,-0.0135379842095352,-0.00222704371634468,0.0451097965410053,-0.0292280793431265,-0.00171150833518593,0.0497296155259445,0.0680211995064462,-0.0631405675243464
"197",1.3584971960912,0.197681976715264,0.0814224849584829,-0.0135348781162109,-0.00222978398177777,0.0450810611545117,-0.0292152404414017,-0.00171450410681569,0.0497001834068819,0.0679829747450506,-0.0631082386064801
"198",1.35847151548974,0.197741045803412,0.0814028467572643,-0.0135303476095585,-0.00222911673665667,0.0450592419355588,-0.0291919886025567,-0.00171505103082029,0.0496841084540352,0.067971521154774,-0.0630590200454353
"199",1.35850325943998,0.197674519303853,0.0814113019505628,-0.013532604257825,-0.00222897638772669,0.0450751914390437,-0.0292131807643776,-0.00171316822748623,0.0496942196531159,0.0679723121016413,-0.063103096036689
"200",1.35849484699532,0.197680342284075,0.0814356629962557,-0.0135365749408987,-0.00222968520370187,0.0450884309005227,-0.0292196109681707,-0.00171422610737253,0.0497085493327441,0.0679938234305969,-0.0631179532809025
"201",1.35848060956056,0.197739179532735,0.0813459965472513,-0.0135238026989391,-0.00223034600656038,0.0450217072894243,-0.0291812950951903,-0.0017156285666982,0.0496480088019489,0.0679178499010461,-0.0630297581280415
"202",1.3584813068512,0.197681238908621,0.0814715645482747,-0.0135396998943072,-0.00222812794491932,0.0451105501905668,-0.0292296003065271,-0.00171235558712607,0.0497315566927573,0.0680245078916262,-0.0631425914424358
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",1.35852951430278,0.197677666446702,0.0813022540022047,-0.0135232878461448,-0.00223386182835309,0.0450084785147462,-0.029183426328789,-0.00171866150701426,0.0496242715061937,0.067879709377757,-0.0630293733152572
"282",1.35850424054562,0.197738852033596,0.0812781046953893,-0.01351851522647,-0.0022335719764383,0.0449840377872144,-0.0291585361081545,-0.00171989924517626,0.049604975638472,0.0678648702879412,-0.062976635410825
"283",1.35843530125894,0.197734799437305,0.0815567401160883,-0.01354689185626,-0.0022254766356925,0.0451481232617998,-0.0292412073589841,-0.00171043409078251,0.0497809440197866,0.0680978557982305,-0.0631737553985591
"284",1.35865007154334,0.197723287068408,0.0801759646069073,-0.0133965722658652,-0.0022572202490321,0.0443776137731381,-0.0289435775081525,-0.0017273209351937,0.0489147509191443,0.0668830205425929,-0.0624192658967697
"285",1.35850262881494,0.197738271768451,0.0812855426012445,-0.0135179935699255,-0.00223252377826998,0.0449834110303483,-0.0291649878811559,-0.00171788320913015,0.0496093972806483,0.0678649775762585,-0.0629887962301361
"286",1.35851408696011,0.197654729284767,0.0813878464364794,-0.0135218840904801,-0.00222187559789614,0.0450707830664042,-0.0292002520376697,-0.00170692470420209,0.0496833448416989,0.0679568632367866,-0.0630834439822523
"287",1.35848815069216,0.197675270954438,0.0814675196059195,-0.0135379842093863,-0.00222704371622278,0.0451097965410979,-0.029228079343106,-0.00171150833503051,0.049729615525941,0.0680211995062856,-0.063140567524403
"288",1.3584927861329,0.197741419444667,0.0807376384206653,-0.0134311947750965,-0.00222043139347851,0.0447078406268101,-0.0290426841684959,-0.00169336988440079,0.0492784165577388,0.0673797030599877,-0.0627030217215544
"289",1.35845621586578,0.197736537782716,0.0814725678983151,-0.0135365005762163,-0.0022265400552118,0.0450963652010517,-0.0292171296891598,-0.00171164968729926,0.0497276439426152,0.0680249983425523,-0.0631160848729607
"290",1.35852760507811,0.19768738952842,0.0808721859924355,-0.0134680879147738,-0.00223596256379788,0.0447668659688658,-0.0290740605473463,-0.00171578669949653,0.049359538655936,0.0675091924880592,-0.0627672937219116
"291",1.35847151548769,0.197741045806179,0.0814028467578392,-0.0135303476086445,-0.00222911673583654,0.0450592419354873,-0.029191988601351,-0.00171505102995435,0.049684108454521,0.0679715211552458,-0.0630590200435497
"292",1.3585042406037,0.197738851958,0.0812781046649157,-0.0135185152475538,-0.00223357199703507,0.0449840377855801,-0.0291585361340549,-0.00171989926758026,0.0496049756170161,0.0678648702643369,-0.0629766354504564
"293",1.35847151547634,0.197741045820912,0.081402846762727,-0.0135303476040266,-0.00222911673147361,0.0450592419362027,-0.0291919885953936,-0.00171505102534248,0.0496841084582401,0.0679715211594319,-0.0630590200346085
